City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,dryden,49.7833,-92.7503,-3.84,74,100,4.12,CA,2023-12-03
319,vorgashor,67.5833,63.95,-25.06,99,63,1.92,RU,2023-12-03
320,changji,44.0167,87.3167,-0.56,86,26,2.0,CN,2023-12-03
321,rubtsovsk,51.5,81.25,2.72,97,100,13.36,RU,2023-12-03
322,san patricio,28.017,-97.5169,17.13,62,100,2.85,US,2023-12-03
323,lamu,-2.2717,40.902,27.12,75,81,5.23,KE,2023-12-03
324,kalemie,-5.9475,29.1947,22.63,85,98,0.87,CD,2023-12-03
325,usinsk,65.9939,57.5281,-11.07,95,100,0.89,RU,2023-12-03
326,sterlitamak,53.6246,55.9502,-5.33,91,94,4.25,RU,2023-12-03
327,dunedin,-45.8742,170.5036,12.11,66,65,3.58,NZ,2023-12-03
328,bamboo flat,11.7,92.7167,27.05,83,75,3.6,IN,2023-12-03
329,praia da vitoria,38.7333,-27.0667,14.14,62,20,8.83,PT,2023-12-03
330,mossel bay,-34.1831,22.146,17.96,77,72,3.56,ZA,2023-12-03
331,nar'yan-mar,67.6713,53.087,-12.72,94,100,4.92,RU,2023-12-03
332,salinopolis,-0.6136,-47.3561,26.01,86,75,3.99,BR,2023-12-03
333,acapulco de juarez,16.8634,-99.8901,26.9,78,40,1.54,MX,2023-12-03
334,mermoz boabab,14.7065,-17.4758,24.88,83,0,7.2,SN,2023-12-03
335,la manga del mar menor,37.6413,-0.7165,10.79,66,0,2.06,ES,2023-12-03
336,ukwa,21.9667,80.4667,28.19,36,81,3.23,IN,2023-12-03
337,ambovombe,-25.1667,46.0833,24.38,48,4,7.74,MG,2023-12-03
338,rabaul,-4.1967,152.1721,28.34,75,65,2.28,PG,2023-12-03
339,sur,22.5667,59.5289,25.92,51,0,2.12,OM,2023-12-03
340,zhezqazghan,47.7833,67.7667,2.32,100,100,12.0,KZ,2023-12-03
341,port-cartier,50.0334,-66.8654,-7.18,88,10,2.93,CA,2023-12-03
342,ubari,26.5921,12.7805,17.01,16,0,3.78,LY,2023-12-03
